         instance    w    h  lots  land_cells  river_cells  preserve_cells  aptitude_classes  connected_components  batch_size  crossover_rate  keep_rate  new_rate     time  generations                  seed  num_new_solutions  num_crossovers  num_mutations  num_solutions_explored  generation_best  time_to_best  time_avg  time_std_dev  time_initial  value_best  value_worst  value_avg  value_std_dev  value_initial  max_area_best  max_area_worst  max_area_avg  max_area_std_dev  max_area_initial  min_area_best  min_area_worst  min_area_avg  min_area_std_dev  min_area_initial  rivers_best  rivers_worst  rivers_avg  rivers_std_dev  rivers_initial  river_violations_best  river_violations_worst  river_violations_avg  river_violations_std_dev  river_violations_initial  size_ratio_best  size_ratio_worst  size_ratio_avg  size_ratio_std_dev  size_ratio_initial  convexity_best  convexity_worst  convexity_avg  convexity_std_dev  convexity_initial  num_empty_crossover_lots  num_disconnected_crossover_lots  num_empty_mutation_lots  num_disconnected_mutation_lots
 300x300k20s94113  300  300    20       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         6089  14033387537963103892                255           30363          30363                   60981             4357       1285.13      0.30          0.25          5.27    91727.36     83615.26   68356.88       18514.18       60179.58           2259            2137       1998.26            633.03              2478           7766            8837       7557.73            591.29              7720            0         11926     2075.75         1341.53           11818                      0                       9                  1.41                      1.16                        10             3.44              4.14            4.82                4.87                3.12            1.32             1.35           1.30               0.05               1.33                      1010                            78634                        0                               0
 300x300k40s94113  300  300    40       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         3130  14060157356534386276                240           15572          15571                   31383             2959       1700.98      0.58          0.45          6.85    10339.31     29119.94   21723.10        8227.98       46691.62           1445            1309       1169.70            292.96               721           2621            3408       3585.36            693.38              4386            0         11320      154.38          635.63            4286                      0                      19                  2.26                      3.18                         6             1.81              2.60            3.81                3.71                6.08            1.30             1.38           1.34               0.04               1.51                      5824                            69941                        0                               0
 300x300k60s94113  300  300    60       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         2331  14059492870136941814                165           11603          11603                   23371             1726       1355.11      0.77          0.56          8.31     6994.60     16186.76   15448.67        6574.38       36629.33            968             606        630.93            204.25               726           1766            2128       2334.87            776.83              3317            0         10088      133.84          675.60            8821                      0                      22                  1.99                      3.77                        24             1.82              3.51            4.72                4.48                4.57            1.26             1.35           1.32               0.04               1.37                      7614                            73735                        0                               0
 300x300k80s94113  300  300    80       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1770  14059492996882734409                135            8808           8808                   17751              365        382.37      1.02          0.66         10.07     5360.97     17241.48   11564.61        4370.75       13823.66            751             377        520.76            168.95               610           1317            1641       1626.79            348.89              1543            0         10923      223.46          766.74            7073                      0                      29                  3.86                      5.37                        28             1.75              4.35            3.70                1.98                2.53            1.26             1.36           1.31               0.04               1.34                      4797                            74032                        0                               0
400x400k100s16692  400  400   100      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          680  14059409094941051470                 15            3398           3398                    6811              677       1793.88      2.65          1.23         32.82     7730.24     24326.19    8430.96        1204.87       24326.19           1116             594       1126.13            122.35               594           1779            3522       1811.26            102.12              3522            0          1688       19.60          140.70            1688                      0                      10                  0.34                      1.86                        10             1.59              5.93            1.67                0.65                5.93            1.26             1.37           1.26               0.02               1.37                       203                            40563                        0                               0
 400x400k20s16692  400  400    20      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.02         2224  14059636197533124485                150           11073          11072                   22295               81         81.57      0.81          0.89         14.32    25882.14     84474.89   36406.80       16642.63       84474.89           6703            3833       6582.98            587.07              3833           8818           10688       9148.36            733.97             10688            0          6774       31.87          292.28            6774                      0                       5                  0.21                      0.78                         5             1.32              2.79            1.41                0.31                2.79            1.37             1.53           1.33               0.10               1.53                       417                            49788                        0                               0
 400x400k40s16692  400  400    40      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         1299  14060114178525824814                 75            6475           6475                   13025              793       1073.19      1.38          1.24         20.13     9825.08     39536.06   17358.82        7103.49       39536.06           2967            2678       2993.13            389.84              2678           4819            6062       4663.59            255.51              6062            0          1584        7.37           80.62            1584                      0                       7                  0.14                      0.72                         7             1.62              2.26            1.69                2.22                2.26            1.35             1.51           1.31               0.05               1.51                       788                            44187                        0                               0
 400x400k60s16692  400  400    60      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          861  14059636199317871097                 60            4290           4290                    8640              856       1786.77      2.09          1.72         26.28     7833.79     30020.22   11063.29        3448.06       31328.02           2179            1331       1970.22            310.14              1573           3220            4149       3116.25            176.63              4047            0          1719        9.57           78.14             492                      0                      10                  0.51                      1.43                         9             1.48              3.12            1.67                0.59                2.57            1.25             1.34           1.28               0.03               1.48                       946                            37015                        0                               0
 400x400k80s16692  400  400    80      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          700  14059636169235955558                 60            3483           3483                    7026              373        940.14      2.57          2.14         30.03     6962.40     19144.72    8292.41        2728.88       29173.98           1476             758       1433.20            163.58               736           2325            2835       2397.49            285.79              4007            0          4052       37.74          264.00            1393                      0                      10                  0.73                      2.19                        17             1.58              3.74            1.73                0.56                5.44            1.27             1.40           1.26               0.03               1.39                       802                            34219                        0                               0
500x500k100s32414  500  500   100      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          269  14059459557123796256                 30            1336           1335                    2701               78        541.79      6.69          5.74         69.61    16080.92     40669.03   20939.65        5835.58       40669.03           1555            1198       1264.92            303.57              1198           4370            4361       4251.84            155.89              4361            0         13958      199.54         1121.54           13958                      0                      23                  2.06                      3.96                        23             2.81              3.64            3.73                2.03                3.64            1.34             1.47           1.35               0.03               1.47                       828                            25119                        0                               0
 500x500k20s32414  500  500    20      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.01         1018  14059476229169033242                 60            5071           5070                   10201                1         33.31      1.77          1.93         29.58   139485.96    175411.31   94893.30       42903.17      294458.81           8504            6253       7227.68            880.49              4770          16692           20951      19428.87           1635.66             30898            0         12145       40.84          654.84           11855                      0                       6                  0.03                      0.35                         6             1.96              3.35            2.74                0.50                6.48            1.50             1.75           1.47               0.05               1.58                      1077                            24902                        0                               0
 500x500k40s32414  500  500    40      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          627  14059434815936247334                 45            3125           3124                    6294              505       1411.71      2.87          2.98         43.93    29982.88    103528.20   34698.56       10390.98      103528.20           4093            2743       3885.30            272.29              2743          10247           10836      10060.01            268.47             10836            0         12992       50.46          618.68           12992                      0                       8                  0.28                      1.01                         8             2.50              3.95            2.60                0.22                3.95            1.41             1.59           1.39               0.05               1.59                       410                            31403                        0                               0
 500x500k60s32414  500  500    60      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          449  14059941217008272645                 15            2241           2241                    4497              395       1619.35      4.01          2.58         52.84    23767.96     83323.46   27720.78        8702.15       83323.46           2630            1491       2375.45            704.96              1491           7067            7447       7020.51             98.65              7447            0          3638       29.29          275.71            3638                      0                       9                  0.39                      1.44                         9             2.69              4.99            4.05                5.07                4.99            1.30             1.48           1.32               0.05               1.48                       427                            28616                        0                               0
 500x500k80s32414  500  500    80      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          333  14060150907118596544                 15            1661           1661                    3337              295       1617.06      5.40          3.27         61.55    18453.52     54169.26   21171.45        4707.19       54169.26           2050            1227       1914.56            189.30              1227           5083            5600       5188.74            190.67              5600            0         16531      131.04         1079.12           16531                      0                      15                  1.09                      3.34                        15             2.48              4.56            2.75                0.46                4.56            1.35             1.45           1.36               0.03               1.45                       511                            26188                        0                               0
 600x600k100s6306  600  600   100      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          221  14059459065182408683                 15            1103           1103                    2221              194       1646.29      8.13          8.25        123.32    47958.74    107259.79   53382.24        6793.25      107259.79           2131             913       1923.29            237.66               913           5501            6684       5270.73            258.50              6684            0         24837      191.86         1732.98           24837                      0                      23                  0.43                      2.17                        23             2.58              7.32            2.78                0.39                7.32            1.36             1.48           1.38               0.04               1.48                       443                            20729                        0                               0
  600x600k20s6306  600  600    20      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          846  14059947239457703863                 60            4215           4214                    8489              167        356.89      2.13          3.43         51.16   317909.87    495119.12  318991.89       15598.66      495119.12          11964            5695      11278.59            676.52              5695          21337           27052      21884.01           1100.97             27052            0         12097       74.98          721.88           12097                      0                       4                  0.09                      0.59                         4             1.78              4.75            1.95                0.25                4.75            1.40             1.66           1.48               0.09               1.66                        63                            25124                        0                               0
  600x600k40s6306  600  600    40      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          493  14059478578406879722                 45            2451           2451                    4947               73        383.09      3.65          4.15         54.98   136103.50    272277.43  150023.78       17950.45      219700.52           5405            3396       4520.25            925.96               670          12014           15360      12302.30            834.65             11987            0         14204      349.23         1316.35            8327                      0                       7                  1.34                      1.95                         6             2.22              4.52            3.06                1.88               17.89            1.44             1.92           1.51               0.09               1.64                       754                            21210                        0                               0
  600x600k60s6306  600  600    60      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          396  14059901345026656225                 45            1967           1967                    3979               50        318.06      4.54          6.18         74.58    87707.17    125913.08   87549.60        9266.36      121857.22           3531            3315       3158.50            969.90              2708           7970           10202       8332.50            446.37              8438            0         23650     1046.14         2176.03           19916                      0                      16                  3.35                      2.68                        17             2.26              3.08            3.69                3.97                3.12            1.37             1.55           1.42               0.06               1.51                       501                            22508                        0                               0
  600x600k80s6306  600  600    80      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.07          312  14060464939866824585                 30            1555           1555                    3140              118        716.98      5.75          6.78         85.85    63197.43    110444.78   68641.26        7204.56      110444.78           2397            1233       2191.21            536.63              1233           6516            6732       6477.47            326.03              6732            0         22774      552.17         2234.25           22774                      0                      19                  2.00                      4.07                        19             2.72              5.46            5.75               16.42                5.46            1.36             1.46           1.38               0.04               1.46                       498                            23653                        0                               0
         belovale  300  300    30       28110          916           60974                 5                     2         256            0.59       0.85      0.05  1800.00        14428  14042729045992132754                375           72019          72018                  144412             1643        208.39      0.12          0.05          1.11     2014.50      5817.95    2544.44         569.28        7749.42           1461            1697       1486.08            109.16              1622            803             627        757.63             43.59               415            0          1218        1.88           32.07             495                      0                       5                  0.02                      0.29                         4             1.82              2.71            1.98                0.39                3.91            1.18             1.27           1.21               0.02               1.26                      2198                           130061                        0                               0
          veredas  300  300    26       24128          589           65283                 7                    10         256            0.59       0.85      0.05  1800.00        23210  14040831902969581235               1545          115539         115539                  232623            15754       1224.02      0.08          0.05          0.85     1036.16      1832.19    1663.03         463.60        1828.44           1406            1437       1370.88            181.22              1668            714             422        459.37            168.15               618            0          5153      219.44          427.69            3027                      0                      13                  2.74                      3.52                        12             1.97              3.41            4.29                6.44                2.70            1.25             1.32           1.23               0.02               1.27                     17041                           146283                        0                               0
         belovale  300  300    30       28110          916           60974                 5                     2         256            0.59       0.85      0.05  1800.00        14304  14060113789230918285                390           71393          71393                  143176              801        105.64      0.13          0.05          1.26     1951.71      3780.06    2582.74         647.93        5229.11           1431            1639       1458.46            100.07              1594            794             591        758.77             48.83               525            0          1063        2.59           37.72             302                      0                       4                  0.03                      0.33                         2             1.80              2.77            1.95                0.72                3.04            1.21             1.24           1.22               0.02               1.35                      2126                           128390                        0                               0
          veredas  300  300    26       24128          589           65283                 7                    10         256            0.59       0.85      0.05  1800.00        23042  14060112855690889122               1485          114717         114717                  230919            21768       1701.64      0.08          0.05          0.86     1164.88      1421.34    1656.99         486.45        2492.92           1079            1359       1400.46            181.14              2079            748             589        464.79            171.63               490            0          5223      247.26          448.02            3711                      0                      13                  3.28                      3.95                        12             1.44              2.31            4.61                7.31                4.24            1.27             1.25           1.24               0.02               1.25                     15241                           148604                        0                               0
         belovale  300  300    30       28110          916           60974                 5                     2         256            0.59       0.85      0.05  1800.00        14449  14059941216878487636                390           72120          72120                  144630             6663        834.04      0.12          0.05          1.13     1831.41      5873.10    2614.40         634.63       10869.25           1359            1919       1507.86            124.89              3225            803             540        752.56             54.75               606            0          1340        2.65           41.27             859                      0                       4                  0.03                      0.32                         6             1.69              3.55            2.03                0.57                5.32            1.18             1.27           1.21               0.02               1.26                      2413                           124052                        0                               0
          veredas  300  300    26       24128          589           65283                 7                    10         256            0.59       0.85      0.05  1800.00        23089  14059941305177719818               1500          114950         114950                  231400             8559        669.83      0.08          0.05          0.84     1217.83      2688.19    1606.33         509.56        1373.92           1161            1802       1369.83            160.27              1359            728             261        462.55            174.56               416            0          4548      271.05          494.72            4470                      0                      11                  3.03                      3.67                        12             1.59              6.90            4.43                7.43                3.27            1.24             1.25           1.23               0.02               1.32                     15345                           151259                        0                               0
         belovale  300  300    30       28110          916           60974                 5                     2         256            0.59       0.85      0.05  1800.00        14410  14060149962806040326                375           71929          71928                  144232            11059       1381.16      0.12          0.05          1.18     1862.65      8536.71    2565.98         678.97        4867.08           1425            1615       1530.61            151.80              1567            772             527        758.75             44.93               654            0          1439        2.54           40.07             823                      0                       7                  0.03                      0.34                         4             1.85              3.06            2.04                0.54                2.40            1.23             1.28           1.22               0.02               1.29                      2221                           125840                        0                               0
          veredas  300  300    26       24128          589           65283                 7                    10         256            0.59       0.85      0.05  1800.00        23611  14060303816180152072               1515          117551         117550                  236616             5457        422.27      0.08          0.05          0.85     1173.42      2366.47    1660.87         457.35        1425.98           1214            1344       1412.30            182.97              1253            694             294        443.01            173.57               249            0          4467      334.73          486.22            2168                      0                      10                  3.85                      3.84                        10             1.75              4.57            5.21                9.97                5.03            1.23             1.23           1.23               0.02               1.34                     15733                           151261                        0                               0
         belovale  300  300    30       28110          916           60974                 5                     2         256            0.59       0.85      0.05  1800.00        14568  14059524523665294602                435           72697          72696                  145828            14008       1732.09      0.12          0.05          1.16     1782.97      7672.20    2601.45         586.34        4003.24           1545            1617       1520.54            109.91              1695            782             520        753.65             50.16               541            0          1169        3.10           42.05             465                      0                       4                  0.04                      0.36                         3             1.98              3.11            2.04                0.51                3.13            1.23             1.27           1.21               0.02               1.27                      2699                           131202                        0                               0
          veredas  300  300    26       24128          589           65283                 7                    10         256            0.59       0.85      0.05  1800.00        23916  14059524714146671740               1575          119058         119058                  239691            16302       1227.61      0.08          0.05          0.86     1215.11      1389.64    1723.06         489.35        2407.94           1185            1448       1384.11            164.21              1811            681             457        455.47            175.82               447            0          5321      241.94          443.08            3065                      0                      15                  3.16                      3.74                         9             1.74              3.17            4.55                7.39                4.05            1.20             1.36           1.23               0.02               1.34                     18624                           149117                        0                               0
           iuctam  449  250    40       29162         2763           80325                 3                    12         256               5         10         0  1800.00        34690  -4271072825006872706               1560          172933         172933                  347426            34577       1793.70      0.05          0.04          0.86     3130.12     13353.20    6275.32        1455.98       12591.76              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         11770      139.56          907.13           10384                      0                      28                  0.58                      3.14                        28             2.80             10.05            5.51                8.35               38.34               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
           iuctam  449  250    40       29162         2763           80325                 3                    12         256               5         10         0  1800.00        34244  -4272737466096065559               1650          170672         170671                  342993             5409        295.40      0.05          0.04          0.84     1721.30     11449.07    6410.53        1457.50       11428.91              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         11712      154.30          937.91            8861                      0                      27                  0.67                      3.34                        26             2.88              8.01            5.68                6.41               14.00               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
           iuctam  449  250    40       29162         2763           80325                 3                    12         256               5         10         0  1800.00        34337  -4271605207470557399               1515          171184         171184                  343883            15449        819.60      0.05          0.04          0.90     2923.42     10680.35    6498.29        1346.97        9029.32              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         12641      130.53          853.09            9639                      0                      28                  0.56                      3.01                        21             2.76              6.12            5.73                7.67               10.74               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
           iuctam  449  250    40       29162         2763           80325                 3                    12         256               5         10         0  1800.00        34229  -4272749086322154360               1545          170633         170633                  342811             3855        204.30      0.05          0.04          0.83     2956.93      9400.09    6410.78        1405.21        9717.36              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         11686      131.57          850.58            9665                      0                      33                  0.57                      3.08                        27             2.78             15.33            5.42                6.34               14.18               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
           iuctam  449  250    40       29162         2763           80325                 3                    12         256               5         10         0  1800.00        34857  -4288073555107551338               1440          173807         173806                  349053            17565        920.51      0.05          0.04          0.90     3300.91      9839.78    6497.18        1307.01        8606.98              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         12310      134.26          883.52           10205                      0                      28                  0.57                      3.07                        22             2.92             13.60            6.06               12.63               14.44               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
       olhosdagua  300  300    24       26122        14180           49698                 4                     9         256               5         10         0  1800.00        59860  -4272748642275208064               3570          298112         298111                  599793            16572        489.53      0.03          0.03          0.54    11475.24     18065.71   17687.46        4534.75       14740.87              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0          9917     1319.85         1463.82            6054                      0                      17                  5.68                      5.28                        14             1.94              4.23            9.49               17.65                3.02               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
       olhosdagua  300  300    24       26122        14180           49698                 4                     9         256               5         10         0  1800.00        59899  -4288039933633846310               3570          298310         298309                  600189            45283       1360.72      0.03          0.03          0.51    10678.91     19369.59   17655.22        4517.56       21680.63              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         10473     1271.15         1345.49            6832                      0                      17                  5.61                      4.90                        12             1.89              4.61           11.41               25.23                5.77               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
       olhosdagua  300  300    24       26122        14180           49698                 4                     9         256               5         10         0  1800.00        59073  -4288041065627136321               3689          294140         294140                  591969            44843       1362.89      0.03          0.03          0.50    13519.92     20969.85   17764.83        4447.36       19557.59              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         10339     1254.04         1369.50            9236                      0                      19                  5.65                      4.92                        15             1.93              3.67           13.70               40.10                3.27               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
       olhosdagua  300  300    24       26122        14180           49698                 4                     9         256               5         10         0  1800.00        60453  -4288167788594140825               3795          301003         301003                  605801            50579       1506.19      0.03          0.03          0.53    10691.61     19000.75   17554.06        4616.27       24538.26              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0         10695     1460.48         1386.55            8379                      0                      18                  6.35                      4.92                        14             1.94              3.70           10.90               22.16                4.66               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
       olhosdagua  300  300    24       26122        14180           49698                 4                     9         256               5         10         0  1800.00        58954  -4288040285702429357               3630          293565         293564                  590759            49513       1511.37      0.03          0.03          0.56    12214.69     18925.00   17630.20        4729.81       16835.80              0               0          0.00              0.00                 0              0               0          0.00              0.00                 0            0          9897     1221.57         1291.53            6452                      0                      18                  5.59                      4.87                        16             1.96              3.59           10.72               23.76                2.73               0                0           0.00               0.00                  0                         0                                0                     0.00                            0.00
